KOD_SUKL;VPOIS_NAZEV_SPOLECNOSTI;VPOIS_WWW;VPOIS_EMAIL;VPOIS_TEL
0000966;Leros s.r.o.;http://www.leros.cz;pharm@leros.cz, leros@leros.cz;257898111
0000967;Leros s.r.o.;http://www.leros.cz;pharm@leros.cz, leros@leros.cz;257898111
0000982;Sevapharma a.s.;;vadass@imuna.cz;724849446
0000984;STADA PHARMA CZ s.r.o.;http://www.stada-pharma.cz;info@stada-pharma.cz;+420 257 888 111
0000992;STADA PHARMA CZ s.r.o.;http://www.stada-pharma.cz;info@stada-pharma.cz;+420 257 888 111
0001017;STADA PHARMA CZ s.r.o.;http://www.stada-pharma.cz;info@stada-pharma.cz;+420 257 888 111
0001066;Zentiva, k.s.;www.zentiva.cz;zentiva.cz@zentiva.com;+420267 241 111
0001069;Zentiva, k.s.;www.zentiva.cz;zentiva.cz@zentiva.com;+420267 241 111
0001076;Zentiva, k.s.;www.zentiva.cz;zentiva.cz@zentiva.com;+420267 241 111
0001077;Zentiva, k.s.;www.zentiva.cz;zentiva.cz@zentiva.com;+420267 241 111
0001125;BB Pharma, a.s.;https://www.bbpharma.cz/vpois;bbpharma@bbpharma.cz;+420 601 088 753
0001127;BB Pharma, a.s.;https://www.bbpharma.cz/vpois;bbpharma@bbpharma.cz;+420 601 088 753
0001182;Pfizer, spol. s r.o.;https://www.pfizer.cz/;Medical.Information@pfizer.com; +420 283 004 111
0001202;STADA PHARMA CZ s.r.o.;http://www.stada-pharma.cz;info@stada-pharma.cz;+420 257 888 111
0001237;STADA PHARMA CZ s.r.o.;http://www.stada-pharma.cz;info@stada-pharma.cz;+420 257 888 111
0001244;Servier s.r.o.;www.servier.cz/info-pro-pacienty-vpois;anna.cerna@servier.com;222118313
0001247;STADA PHARMA CZ s.r.o.;http://www.stada-pharma.cz;info@stada-pharma.cz;+420 257 888 111
0001252;Fresenius Kabi s.r.o.;http://www.fresenius-kabi.cz;marina.svobodova@fresenius-kabi.com;+420 225 270 583
0001255;Pfizer, spol. s r.o.;https://www.pfizer.cz/;Medical.Information@pfizer.com; +420 283 004 111
0001258;Pfizer, spol. s r.o.;https://www.pfizer.cz/;Medical.Information@pfizer.com; +420 283 004 111
0001259;Pfizer, spol. s r.o.;https://www.pfizer.cz/;Medical.Information@pfizer.com; +420 283 004 111
0001287;Fresenius Kabi s.r.o.;http://www.fresenius-kabi.cz;marina.svobodova@fresenius-kabi.com;+420 225 270 583
0001290;Servier s.r.o.;www.servier.cz/info-pro-pacienty-vpois;anna.cerna@servier.com;222118313
0001328;EGIS Praha, spol. r. o.;http://www.egispraha.cz/;egispraha@egispraha.cz;+420 227 129 111
0001410;APREMEDA s.r.o.;www.apremeda.cz;info@apremeda.cz;+ 420 544 500 617
0001411;APREMEDA s.r.o.;www.apremeda.cz;info@apremeda.cz;+ 420 544 500 617
0001412;APREMEDA s.r.o.;www.apremeda.cz;info@apremeda.cz;+ 420 544 500 617
0001420;Novartis s.r.o.;http://www.novartis.cz;medinfo.cz@novartis.com;+420 225 775 111
0001421;Novartis s.r.o.;http://www.novartis.cz;medinfo.cz@novartis.com;+420 225 775 111
0001426;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0001435;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0001439;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0001452;Fresenius Kabi s.r.o.;http://www.fresenius-kabi.cz;marina.svobodova@fresenius-kabi.com;+420 225 270 583
0001453;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0001470;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0001474;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0001480;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0001491;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0001495;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0001501;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0001512;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0001517;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0001529;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0001537;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0001540;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0001543;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0001545;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0001556;4LIFE Pharma s.r.o.;http://www.4lifepharma.eu;;244 403 003
0001575;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0001580;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0001585;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0001586;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0001588;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0001605;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0001621;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0001622;BOIRON CZ, s.r.o.;http://vpois.boiron.cz;info@boiron.cz;224 835 090
0001623;BOIRON CZ, s.r.o.;http://vpois.boiron.cz;info@boiron.cz;224 835 090
0001624;BOIRON CZ, s.r.o.;http://vpois.boiron.cz;info@boiron.cz;224 835 090
0001630;Teva Pharmaceuticals CR, s.r.o.;http://www.teva.cz/;vois@teva.cz;+420 251 007 111
0001631;Teva Pharmaceuticals CR, s.r.o.;http://www.teva.cz/;vois@teva.cz;+420 251 007 111
0001632;Teva Pharmaceuticals CR, s.r.o.;http://www.teva.cz/;vois@teva.cz;+420 251 007 111
0001633;Teva Pharmaceuticals CR, s.r.o.;http://www.teva.cz/;vois@teva.cz;+420 251 007 111
0001656;Ipsen Pharma s.r.o.; http://www.ipsen.cz;medinfo.czech@ipsen.com;+420 242 481 821
0001673;Medochemie Bohemia, spol. s r.o.;http://czech.medochemie.com/MainMenu/VPOIS.aspx;jaroslav.litera@medochemie.com;+ 420 241 029 007
0001674;Teva Pharmaceuticals CR, s.r.o.;http://www.teva.cz/;vois@teva.cz;+420 251 007 111
0001677;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0001699;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;420 234 142 222
0001710;EGIS Praha, spol. r. o.;http://www.egispraha.cz/;egispraha@egispraha.cz;+420 227 129 111
0001711;EGIS Praha, spol. r. o.;http://www.egispraha.cz/;egispraha@egispraha.cz;+420 227 129 111
0001732;DiagnosticPharmaceuticals a.s.;;sramek@diagpharm.cz;296328307 (308)
0001733;DiagnosticPharmaceuticals a.s.;;sramek@diagpharm.cz;296328307 (308)
0001734;DiagnosticPharmaceuticals a.s.;;sramek@diagpharm.cz;296328307 (308)
0001735;DiagnosticPharmaceuticals a.s.;;sramek@diagpharm.cz;296328307 (308)
0001736;DiagnosticPharmaceuticals a.s.;;sramek@diagpharm.cz;296328307 (308)
0001737;DiagnosticPharmaceuticals a.s.;;sramek@diagpharm.cz;296328307 (308)
0001738;DiagnosticPharmaceuticals a.s.;;sramek@diagpharm.cz;296328307 (308)
0001739;DiagnosticPharmaceuticals a.s.;;sramek@diagpharm.cz;296328307 (308)
0001740;DiagnosticPharmaceuticals a.s.;;sramek@diagpharm.cz;296328307 (308)
0001741;DiagnosticPharmaceuticals a.s.;;sramek@diagpharm.cz;296328307 (308)
0001742;DiagnosticPharmaceuticals a.s.;;sramek@diagpharm.cz;296328307 (308)
0001743;DiagnosticPharmaceuticals a.s.;;sramek@diagpharm.cz;296328307 (308)
0001744;DiagnosticPharmaceuticals a.s.;;sramek@diagpharm.cz;296328307 (308)
0001745;DiagnosticPharmaceuticals a.s.;;sramek@diagpharm.cz;296328307 (308)
0001770;BOIRON CZ, s.r.o.;http://vpois.boiron.cz;info@boiron.cz;224 835 090
0001772;Fresenius Kabi s.r.o.;http://www.fresenius-kabi.cz;marina.svobodova@fresenius-kabi.com;+420 225 270 583
0001813;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0001823;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0001829;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0001849;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0001855;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0001881;Teva Pharmaceuticals CR, s.r.o.;http://www.teva.cz/;vois@teva.cz;+420 251 007 111
0001888;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0001906;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0001907;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0001908;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0001914;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0001918;Leros s.r.o.;http://www.leros.cz;pharm@leros.cz, leros@leros.cz;257898111
0001923;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0001927;Medochemie Bohemia, spol. s r.o.;http://czech.medochemie.com/MainMenu/VPOIS.aspx;jaroslav.litera@medochemie.com;+ 420 241 029 007
0001928;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0001929;Medochemie Bohemia, spol. s r.o.;http://czech.medochemie.com/MainMenu/VPOIS.aspx;jaroslav.litera@medochemie.com;+ 420 241 029 007
0001932;Medochemie Bohemia, spol. s r.o.;http://czech.medochemie.com/MainMenu/VPOIS.aspx;jaroslav.litera@medochemie.com;+ 420 241 029 007
0001933;Teva Pharmaceuticals s.r.o.;http://www.teva.cz;vois@teva.cz;251007111
0001940;Zentiva, k.s.;www.zentiva.cz;zentiva.cz@zentiva.com;+420267 241 111
0001941;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0001942;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0001945;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0001953;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0001963;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0002012;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0002022;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0002026;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0002060;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0002062;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0002132;BB Pharma, a.s.;https://www.bbpharma.cz/vpois;bbpharma@bbpharma.cz;+420 601 088 753
0002141;Leros s.r.o.;http://www.leros.cz;pharm@leros.cz, leros@leros.cz;257898111
0002223;Leros s.r.o.;http://www.leros.cz;pharm@leros.cz, leros@leros.cz;257898111
0002289;Pfizer, spol. s r.o.;https://www.pfizer.cz/;Medical.Information@pfizer.com; +420 283 004 111
0002427;Zaklady Farmaceutyczne POLPHARMA S.A.;https://polpharma.pl/int/cz/nase-produkty/;;
0002429;EGIS Praha, spol. r. o.;http://www.egispraha.cz/;egispraha@egispraha.cz;+420 227 129 111
0002430;Zaklady Farmaceutyczne POLPHARMA S.A.;https://polpharma.pl/int/cz/nase-produkty/;;
0002479;Zentiva, k.s.;www.zentiva.cz;zentiva.cz@zentiva.com;+420267 241 111
0002486;Zentiva, k.s.;www.zentiva.cz;zentiva.cz@zentiva.com;+420267 241 111
0002529;4LIFE Pharma, s.r.o.;http://www.4lifepharma.eu;;244403003
0002537;Gedeon Richter Marketing ÈR, s.r.o.;http://www.richtergedeon.cz;info@richtergedeon.cz;261141200
0002538;Gedeon Richter Marketing ÈR, s.r.o.;http://www.richtergedeon.cz;info@richtergedeon.cz;261141200
0002539;Gedeon Richter Marketing ÈR, s.r.o.;http://www.richtergedeon.cz;info@richtergedeon.cz;261141200
0002592;EGIS Praha, spol. r. o.;http://www.egispraha.cz/;egispraha@egispraha.cz;+420 227 129 111
0002668;Zentiva, k.s.;www.zentiva.cz;zentiva.cz@zentiva.com;+420267 241 111
0002679;Boehringer Ingelheim spol s r.o.;http://www.boehringer-ingelheim.cz;infocz@boehringer-ingelheim.com;
0002684;Zentiva, a.s.;www.zentiva.cz;zentiva.cz@zentiva.com;+420267 241 111
0002710;STADA PHARMA CZ s.r.o.;http://www.stada-pharma.cz;info@stada-pharma.cz;+420 257 888 111
0002715;BB Pharma, a.s.;https://www.bbpharma.cz/vpois;bbpharma@bbpharma.cz;+420 601 088 753
0002716;BB Pharma, a.s.;https://www.bbpharma.cz/vpois;bbpharma@bbpharma.cz;+420 601 088 753
0002720;STADA PHARMA CZ s.r.o.;http://www.stada-pharma.cz;info@stada-pharma.cz;+420 257 888 111
0002828;Zentiva, k.s.;www.zentiva.cz;zentiva.cz@zentiva.com;+420267 241 111
0002829;Zentiva, k.s.;www.zentiva.cz;zentiva.cz@zentiva.com;+420267 241 111
0002839;;;;
0002840;;;;
0002841;;;;
0002868;EGIS Praha, spol. r. o.;http://www.egispraha.cz/;egispraha@egispraha.cz;+420 227 129 111
0002871;EGIS Praha, spol. r. o.;http://www.egispraha.cz/;egispraha@egispraha.cz;+420 227 129 111
0002917;Bracco Imaging Czech s.r.o.;https://imaging.bracco.com/cz-cs/.;;
0002918;Bracco Imaging Czech s.r.o.;https://imaging.bracco.com/cz-cs/.;;
0002919;Bracco Imaging Czech s.r.o.;https://imaging.bracco.com/cz-cs/.;;
0002920;Bracco Imaging Czech s.r.o.;https://imaging.bracco.com/cz-cs/.;;
0002926;Krka ÈR s.r.o.;http://www.krka.cz/cz/leciva-a-jine-produkty/;info.cz@krka.biz;
0002927;Krka ÈR s.r.o.;http://www.krka.cz/cz/leciva-a-jine-produkty/;info.cz@krka.biz;
0002944;Zentiva, k.s.;www.zentiva.cz;zentiva.cz@zentiva.com;+420267 241 111
0002945;Zentiva, k.s.;www.zentiva.cz;zentiva.cz@zentiva.com;+420267 241 111
0002949;STADA PHARMA CZ s.r.o.;http://www.stada-pharma.cz;info@stada-pharma.cz;+420 257 888 111
0002950;STADA PHARMA CZ s.r.o.;http://www.stada-pharma.cz;info@stada-pharma.cz;+420 257 888 111
0002951;STADA PHARMA CZ s.r.o.;http://www.stada-pharma.cz;info@stada-pharma.cz;+420 257 888 111
0002953;Zentiva, k.s.;www.zentiva.cz;zentiva.cz@zentiva.com;+420267 241 111
0002954;Zentiva, k.s.;www.zentiva.cz;zentiva.cz@zentiva.com;+420267 241 111
0002963;Zentiva, k.s.;www.zentiva.cz;zentiva.cz@zentiva.com;+420267 241 111
0003033;Krka ÈR s.r.o.;http://www.krka.cz/cz/leciva-a-jine-produkty/;info.cz@krka.biz;
0003063;Zentiva, k.s.;www.zentiva.cz;zentiva.cz@zentiva.com;+420267 241 111
0003128;Teva Pharmaceuticals CR, s.r.o.;http://www.teva.cz/;vois@teva.cz;+420 251 007 111
0003280;BOIRON CZ, s.r.o.;http://vpois.boiron.cz;info@boiron.cz;224 835 090
0003281;BOIRON CZ, s.r.o.;http://vpois.boiron.cz;info@boiron.cz;224 835 090
0003282;BOIRON CZ, s.r.o.;http://vpois.boiron.cz;info@boiron.cz;224 835 090
0003283;BOIRON CZ, s.r.o.;http://vpois.boiron.cz;info@boiron.cz;224 835 090
0003284;BOIRON CZ, s.r.o.;http://vpois.boiron.cz;info@boiron.cz;224 835 090
0003285;BOIRON CZ, s.r.o.;http://vpois.boiron.cz;info@boiron.cz;224 835 090
0003290;B. Braun Medical s.r.o.;http://www.bbraun.cz;vpois.cz@bbraun.com;+420 770 110 084
0003293;BOIRON CZ, s.r.o.;http://vpois.boiron.cz;info@boiron.cz;224 835 090
0003294;BOIRON CZ, s.r.o.;http://vpois.boiron.cz;info@boiron.cz;224 835 090
0003303;Zentiva, k.s.;www.zentiva.cz;zentiva.cz@zentiva.com;+420267 241 111
0003325;BOIRON CZ, s.r.o.;http://vpois.boiron.cz;info@boiron.cz;224 835 090
0003334;BOIRON CZ, s.r.o.;http://vpois.boiron.cz;info@boiron.cz;224 835 090
0003335;BOIRON CZ, s.r.o.;http://vpois.boiron.cz;info@boiron.cz;224 835 090
0003336;BOIRON CZ, s.r.o.;http://vpois.boiron.cz;info@boiron.cz;224 835 090
0003414;B. Braun Medical s.r.o.;http://www.bbraun.cz;vpois.cz@bbraun.com;+420 770 110 084
0003416;B. Braun Medical s.r.o.;http://www.bbraun.cz;vpois.cz@bbraun.com;+420 770 110 084
0003513;B. Braun Medical s.r.o.;http://www.bbraun.cz;vpois.cz@bbraun.com;+420 770 110 084
0003542;Zentiva, k.s.;www.zentiva.cz;zentiva.cz@zentiva.com;+420267 241 111
0003550;Gedeon Richter Marketing ÈR, s.r.o.;http://www.richtergedeon.cz;info@richtergedeon.cz;261141200
0003591;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;420 234 142 222
0003623;B. Braun Medical s.r.o.;http://www.bbraun.cz;vpois.cz@bbraun.com;+420 770 110 084
0003645;Glenmark Pharmaceuticals s.r.o.;http://www.glenmarkpharma.cz;info@glenmarkpharma.cz;227629511
0003648;Ferring Pharmaceuticals CZ s.r.o.;http://www.ferring.cz;cz1-info@ferring.com;+420 234 701 333
0003707;Pfizer, spol. s r.o.;https://www.pfizer.cz/;Medical.Information@pfizer.com; +420 283 004 111
0003708;Pfizer, spol. s r.o.;https://www.pfizer.cz/;Medical.Information@pfizer.com; +420 283 004 111
0003902;Pfizer, spol. s r.o.;https://www.pfizer.cz/;Medical.Information@pfizer.com; +420 283 004 111
0003904;Pfizer, spol. s r.o.;https://www.pfizer.cz/;Medical.Information@pfizer.com; +420 283 004 111
0003906;Pfizer, spol. s r.o.;https://www.pfizer.cz/;Medical.Information@pfizer.com; +420 283 004 111
0003925;Fresenius Kabi s.r.o.;http://www.fresenius-kabi.cz;marina.svobodova@fresenius-kabi.com;+420 225 270 583
0003926;Fresenius Kabi s.r.o.;http://www.fresenius-kabi.cz;marina.svobodova@fresenius-kabi.com;+420 225 270 583
0003930;Fresenius Kabi s.r.o.;http://www.fresenius-kabi.cz;marina.svobodova@fresenius-kabi.com;+420 225 270 583
0003933;Fresenius Kabi s.r.o.;http://www.fresenius-kabi.cz;marina.svobodova@fresenius-kabi.com;+420 225 270 583
0003972;Fresenius Kabi s.r.o.;http://www.fresenius-kabi.cz;marina.svobodova@fresenius-kabi.com;+420 225 270 583
0003973;Fresenius Kabi s.r.o.;http://www.fresenius-kabi.cz;marina.svobodova@fresenius-kabi.com;+420 225 270 583
0003974;Fresenius Kabi s.r.o.;http://www.fresenius-kabi.cz;marina.svobodova@fresenius-kabi.com;+420 225 270 583
0003997;EGIS Praha, spol. r. o.;http://www.egispraha.cz/;egispraha@egispraha.cz;+420 227 129 111
0003998;EGIS Praha, spol. r. o.;http://www.egispraha.cz/;egispraha@egispraha.cz;+420 227 129 111
0003999;EGIS Praha, spol. r. o.;http://www.egispraha.cz/;egispraha@egispraha.cz;+420 227 129 111
0004013;Teva Pharmaceuticals CR, s.r.o.;http://www.teva.cz/;vois@teva.cz;+420 251 007 111
0004014;Teva Pharmaceuticals CR, s.r.o.;http://www.teva.cz/;vois@teva.cz;+420 251 007 111
0004062;Gedeon Richter Marketing ÈR, s.r.o.;http://www.richtergedeon.cz;info@richtergedeon.cz;261141200
0004063;Gedeon Richter Marketing ÈR, s.r.o.;http://www.richtergedeon.cz;info@richtergedeon.cz;261141200
0004071;Zentiva, k.s.;www.zentiva.cz;zentiva.cz@zentiva.com;+420267 241 111
0004160;Zentiva, k.s.;www.zentiva.cz;zentiva.cz@zentiva.com;+420267 241 111
0004178;Zentiva, k.s.;www.zentiva.cz;zentiva.cz@zentiva.com;+420267 241 111
0004188;Baxter Czech spol. s r.o.;https://vpois.baxter.cz/;magdalena_brunova@baxter.com;225 774 141
0004207;Zentiva, k.s.;www.zentiva.cz;zentiva.cz@zentiva.com;+420267 241 111
0004212;Teva Pharmaceuticals CR, s.r.o.;http://www.teva.cz/;vois@teva.cz;+420 251 007 111
0004234;Pfizer, spol. s r.o.;https://www.pfizer.cz/;Medical.Information@pfizer.com; +420 283 004 111
0004304;Krka ÈR s.r.o.;http://www.krka.cz/cz/leciva-a-jine-produkty/;info.cz@krka.biz;
0004307;Medindex, spol. s r.o.;http://www.mdx.cz/#!tab-custom;;
0004336;Zentiva, k.s.;www.zentiva.cz;zentiva.cz@zentiva.com;+420267 241 111
0004364;Leros s.r.o.;http://www.leros.cz;pharm@leros.cz, leros@leros.cz;257898111
0004380;Zentiva, k.s.;www.zentiva.cz;zentiva.cz@zentiva.com;+420267 241 111
0005113;Sanofi s.r.o.;;cz-info@sanofi.com;+420 233 086 111
0005441;Zentiva, k.s.;www.zentiva.cz;zentiva.cz@zentiva.com;+420267 241 111
0005476;Zentiva, k.s.;www.zentiva.cz;zentiva.cz@zentiva.com;+420267 241 111
0005496;Zentiva, k.s.;www.zentiva.cz;zentiva.cz@zentiva.com;+420267 241 111
0005499;Zentiva, k.s.;www.zentiva.cz;zentiva.cz@zentiva.com;+420267 241 111
0005592;BOIRON CZ, s.r.o.;http://vpois.boiron.cz;info@boiron.cz;224 835 090
0005594;BOIRON CZ, s.r.o.;http://vpois.boiron.cz;info@boiron.cz;224 835 090
0005628;BOIRON CZ, s.r.o.;http://vpois.boiron.cz;info@boiron.cz;224 835 090
0005782;Sanofi s.r.o.;;cz-info@sanofi.com;+420 233 086 111
0005844;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0005845;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0005853;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;234 142 222
0005924;Pierre Fabre s.r.o.;http://www.pf-vpois.cz/;info.cz@pierre-fabre.com;+420 286 004 111
0005925;Pierre Fabre s.r.o.;http://www.pf-vpois.cz/;info.cz@pierre-fabre.com;+420 286 004 111
0005950;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;420 234 142 222
0005951;SANDOZ s.r.o.;http://www.sandoz.cz/;office.cz@sandoz.com;420 234 142 222
0005954;Baxter Czech spol. s r.o.;https://vpois.baxter.cz/;magdalena_brunova@baxter.com;225 774 141
0006264;EGIS Praha, spol. r. o.;http://www.egispraha.cz/;egispraha@egispraha.cz;+420 227 129 111
0006408;Teva Pharmaceuticals CR, s.r.o.;http://www.teva.cz/;vois@teva.cz;+420 251 007 111
0006550;Krka ÈR s.r.o.;http://www.krka.cz/cz/leciva-a-jine-produkty/;info.cz@krka.biz;
0006618;Zentiva, k.s.;www.zentiva.cz;zentiva.cz@zentiva.com;+420267 241 111
0007387;PRO.MED.CS Praha a.s.;http://www.promedcs.cz;vpois@promedcs.com;+420 241 013 111
0007430;Schwabe Czech Republic s.r.o.;;info@schwabe.cz;241740447
0007431;Schwabe Czech Republic s.r.o.;;info@schwabe.cz;241740447
0007432;Schwabe Czech Republic s.r.o.;;info@schwabe.cz;241740447
0008506;EGIS Praha, spol. r. o.;http://www.egispraha.cz/;egispraha@egispraha.cz;+420 227 129 111
0008510;4LIFE Pharma, s.r.o.;http://www.4lifepharma.eu;;244403003
0008511;4LIFE Pharma, s.r.o.;http://www.4lifepharma.eu;;244403003
0008565;EGIS Praha, spol. r. o.;http://www.egispraha.cz/;egispraha@egispraha.cz;+420 227 129 111
0008626;EGIS Praha, spol. r. o.;http://www.egispraha.cz/;egispraha@egispraha.cz;+420 227 129 111
0008669;EGIS Praha, spol. r. o.;http://www.egispraha.cz/;egispraha@egispraha.cz;+420 227 129 111
0008670;EGIS Praha, spol. r. o.;http://www.egispraha.cz/;egispraha@egispraha.cz;+420 227 129 111
0008671;EGIS Praha, spol. r. o.;http://www.egispraha.cz/;egispraha@egispraha.cz;+420 227 129 111
